and	and	そして
sorry	sorry	ごめんなさい
sorriest	sorry	ごめんなさい
sorrier	sorry	ごめんなさい
instead	instead	代わりに、
god	god	シーン
gods	god	シーン
found	found	‘見っけ’
founded	found	‘見っけ’
foundings	found	‘見っけ’
founds	found	‘見っけ’
name	name	代名
named	name	代名
names	name	代名
namings	name	代名
almost	almost	ほぼ
level	level	すいじゅん
leveled	level	すいじゅん
leveling	level	すいじゅん
levelled	level	すいじゅん
levelling	level	すいじゅん
levels	level	すいじゅん
agree	agree	同意する
agreed	agree	同意する
agreeing	agree	同意する
agrees	agree	同意する
remember	remember	覚えておくべきこと
remembered	remember	覚えておくべきこと
remembering	remember	覚えておくべきこと
remembers	remember	覚えておくべきこと
stop	stop	を停止します
stopped	stop	を停止します
stops	stop	を停止します
call	call	を呼び出す
called	call	を呼び出す
callings	call	を呼び出す
calls	call	を呼び出す
mind	mind	ヌース
minded	mind	ヌース
minding	mind	ヌース
mindings	mind	ヌース
minds	mind	ヌース
school	school	まなびのにわ
schooled	school	まなびのにわ
schoolings	school	まなびのにわ
schools	school	まなびのにわ
myself	myself	自分
thank	thank	感謝している
thanked	thank	感謝している
thanking	thank	感謝している
thankings	thank	感謝している
thanks	thank	ありがとうございました
usually	usually	フツー
second	second	にばんめ
seconded	second	にばんめ
seconding	second	にばんめ
seconds	second	ろうそく
please	please	「頼む……！」
pleased	please	「頼む……！」
pleases	please	「頼む……！」
pleasings	please	「頼む……！」
talking	talking	話す
ago	ago	のまえに
set	set	置く
sets	set	置く
quite	quite	かなり
true	true	真の封印
trued	true	真の封印
trueing	true	真の封印
truer	true	真の封印
trues	true	真の封印
truest	true	真の封印
truing	true	真の封印
pay	pay	支払う
paid	pay	支払う
payed	pay	支払う
paying	pay	支払う
pays	pay	支払う
awesome	awesome	おしゃれな
full	full	full
fulled	full	full
fulling	full	full
fulls	full	full
week	week	しゅ
weeks	week	しゅ
watch	watch	見る
watched	watch	見る
watches	watch	見る
watchings	watch	見る
edit	edit	編集
edited	edit	編集
editing	edit	編集
edits	edit	編集
care	care	ケアするために
cared	care	ケアするために
cares	care	ケアするために
carings	care	ケアするために
left	left	ひだり
lefts	left	ひだり
question	question	しつもん
questioned	question	しつもん
questionings	question	しつもん
questions	question	しつもん
yourself	yourself	自分自身
home	home	カーサ
homed	home	カーサ
homes	home	カーサ
homing	home	カーサ
homings	home	カーサ
rather	rather	むしろ、
video	video	ヴィジュアル
videos	video	ヴィジュアル
friend	friend	ほうばい
friends	friend	ほうばい
cool	cool	おしゃれな
cooled	cool	おしゃれな
coolest	cool	おしゃれな
cooling	cool	おしゃれな
cools	cool	おしゃれな
ask	ask	埋葬する
asked	ask	埋葬する
asking	ask	埋葬する
asks	ask	埋葬する
side	side	ページ
sided	side	ページ
sider	side	ページ
sides	side	ページ
sidings	side	ページ
however	however	然しながら
story	story	語り
stories	story	語り
storys	story	語り
fine	fine	まとも
finer	fine	まとも
finest	fine	まとも
exactly	exactly	その通り
small	small	少し
smaller	small	少し
smallest	small	少し
smalls	small	少し
system	system	システムズ
systems	system	システムズ
check	check	confirm
checked	check	confirm
checking	check	confirm
checks	check	confirm
car	car	くちぢゃ
cars	car	くちぢゃ
worth	worth	相応しい
worths	worth	相応しい
seem	seem	見る
seemed	seem	見る
seeming	seem	見る
seemings	seem	見る
seems	seem	見る
hate	hate	嫌い
sense	sense	感覚
sensed	sense	感覚
senses	sense	感覚
sensings	sense	感覚
experience	experience	経験
experienced	experience	経験
experiences	experience	経験
experiencing	experience	経験
wait	wait	待つ
waited	wait	待つ
waitings	wait	待つ
waits	wait	待つ
add	add	追加する
added	add	追加する
adding	add	追加する
adds	add	追加する
others	others	その他
hit	hit	ヒットする
hits	hit	ヒットする
hitting	hit	ヒットする
working	working	作業中
power	power	りき
powered	power	りき
powering	power	りき
powers	power	りき
completely	completely	完全に
especially	especially	とくに
easy	easy	軽易 [けいい]
easiest	easy	軽易 [けいい]
easier	easy	軽易 [けいい]
possible	possible	possible
possibles	possible	possible
course	course	かてい
coursed	course	かてい
courses	course	かてい
coursings	course	かてい
talk	talk	言う
talked	talk	言う
talkings	talk	言う
talks	talk	言う
sometimes	sometimes	ときどき
couple	couple	つがい
coupled	couple	つがい
couples	couple	つがい
couplings	couple	つがい
matter	matter	ぶんだい
mattered	matter	ぶんだい
mattering	matter	ぶんだい
matters	matter	ぶんだい
happy	happy	うれしい
happiest	happy	うれしい
happier	happy	うれしい
likely	likely	可能性が高い
issue	issue	ぶんだい
issued	issue	ぶんだい
issues	issue	ぶんだい
issuing	issue	ぶんだい
thinking	thinking	考え
head	head	つむ
headed	head	つむ
headings	head	つむ
heads	head	つむ
often	often	じしゅ
half	half	はん
halfer	half	はん
halfs	half	はん
comment	comment	コメント
commented	comment	コメント
commenting	comment	コメント
comments	comment	コメント
saw	saw	見る
sawed	saw	見る
sawing	saw	見る
sawn	saw	見る
saws	saw	見る
night	night	よる
nights	night	よる
happen	happen	起こる
happened	happen	起こる
happenings	happen	起こる
happens	happen	起こる
support	support	適用する
supported	support	適用する
supportings	support	適用する
supports	support	適用する
player	player	プレイヤー
players	player	プレイヤー
black	black	黒
blacked	black	黒
blacker	black	黒
blackest	black	黒
blackings	black	黒
blacks	black	黒
move	move	動く
moved	move	動く
moves	move	動く
moving	move	動く
movings	move	動く
basically	basically	デフォルトでは、
taking	taking	取っている
face	face	かんばせ
faced	face	かんばせ
faces	face	かんばせ
facings	face	かんばせ
close	close	閉じる
closed	close	閉じる
closes	close	閉じる
closest	close	閉じる
closings	close	閉じる
kill	kill	殺す
killed	kill	殺す
killings	kill	殺す
kills	kill	殺す
hell	hell	ならく
hells	hell	ならく
line	line	鑢
lined	line	鑢
lines	line	鑢
linings	line	鑢
hand	hand	お手
handed	hand	お手
handing	hand	お手
hands	hand	お手
whatever	whatever	何でも
open	open	開ける
opened	open	開ける
openings	open	開ける
opens	open	開ける
today	today	きょう
damn	damn	「くそーっ！」
damner	damn	「くそーっ！」
damning	damn	「くそーっ！」
damns	damn	「くそーっ！」
house	house	カーサ
housed	house	カーサ
houses	house	カーサ
housings	house	カーサ
super	super	とても
supers	super	とても
deal	deal	とりひき
dealings	deal	とりひき
deals	deal	とりひき
dealt	deal	とりひき
season	season	セゾン
seasoned	season	セゾン
seasonings	season	セゾン
seasons	season	セゾン
similar	similar	類似
single	single	一つ [ひとつ] の
singled	single	一つ [ひとつ] の
singler	single	一つ [ひとつ] の
singles	single	一つ [ひとつ] の
singling	single	一つ [ひとつ] の
singlings	single	一つ [ひとつ] の
number	number	数字
numbered	number	数字
numberings	number	数字
numbers	number	数字
example	example	れい
examples	example	れい
win	win	勝つために
wines	win	勝つために
wins	win	勝つために
won	win	勝つために
state	state	ステータス格納部
stated	state	ステータス格納部
states	state	ステータス格納部
stating	state	ステータス格納部
family	family	家族
families	family	家族
turn	turn	を回します
turned	turn	を回します
turnings	turn	を回します
turns	turn	を回します
movie	movie	えいが
movies	movie	えいが
huge	huge	巨大
huger	huge	巨大
hugest	huge	巨大
together	together	一緒に
gonna	gonna	~ウィル
amount	amount	りょう
amounted	amount	りょう
amounting	amount	りょう
amounts	amount	りょう
men	men	メンズ
damage	damage	ダメージ
damaged	damage	ダメージ
damages	damage	ダメージ
damaging	damage	ダメージ
coming	coming	来る
past	past	過去
pasts	past	過去
leave	leave	去る
leaved	leave	去る
leaves	leave	は
leavings	leave	去る
water	water	みず
watered	water	みず
waterings	water	みず
waters	water	みず
link	link	つなぎ
linked	link	つなぎ
linking	link	つなぎ
links	link	つなぎ
food	food	食品
foods	food	食品
hear	hear	聞く
heard	hear	聞く
hearings	hear	ちょうもんかい
hears	hear	聞く
hearses	hear	聞く
three	three	セツ
threes	three	セツ
white	white	白い
whited	white	白い
whiter	white	白い
whites	white	白い
whitest	white	白い
whitings	white	白い
low	low	低
lowed	low	低
lowest	low	低
lowing	low	低
lows	low	低
price	price	料金
priced	price	料金
prices	price	料金
pricing	price	料金
sound	sound	ものおと
sounded	sound	ものおと
soundest	sound	ものおと
soundings	sound	ものおと
sounds	sound	ものおと
girl	girl	をとめ
girls	girl	をとめ
phone	phone	電化
phoned	phone	電化
phones	phone	電化
phoning	phone	電化
body	body	からだ
bodies	body	からだ
bodied	body	からだ
bodying	body	からだ
important	important	重要
honestly	honestly	正直に
chance	chance	じき
chanced	chance	じき
chancer	chance	じき
chances	chance	じき
chancing	chance	じき
rest	rest	のこり
rested	rest	のこり
resting	rest	のこり
restings	rest	のこり
rests	rest	のこり
sort	sort	しゅるい
sorted	sort	しゅるい
sortings	sort	しゅるい
sorts	sort	しゅるい
wish	wish	望む
wished	wish	望む
wishes	wish	望む
wishings	wish	望む
pick	pick	選ぶ
picked	pick	選ぶ
pickings	pick	選ぶ
picks	pick	選ぶ
mine	mine	鉱山
mined	mine	鉱山
mines	mine	鉱山
minings	mine	鉱山
order	order	手番
ordered	order	手番
orderings	order	手番
orders	order	手番
anyway	anyway	とにかく
answer	answer	こたえ
answered	answer	こたえ
answering	answer	こたえ
answers	answer	こたえ
thread	thread	Gltarrae
threaded	thread	Gltarrae
threading	thread	Gltarrae
threads	thread	Gltarrae
dude	dude	ガイ
dudes	dude	ガイ
simply	simply	単純に
stupid	stupid	愚かな
stupider	stupid	愚かな
stupidest	stupid	愚かな
stupids	stupid	愚かな
seriously	seriously	マジで
control	control	コントロールするには
controled	control	コントロールするには
controling	control	コントロールするには
controlled	control	コントロールするには
controlling	control	コントロールするには
controls	control	コントロールするには
group	group	集合体
grouped	group	集合体
groupings	group	集合体
groups	group	集合体
difference	difference	ちがい
differences	difference	ちがい
cause	cause	原因
caused	cause	原因
causes	cause	原因
causing	cause	原因
build	build	作る
builded	build	作る
buildings	build	おくしゃ
builds	build	作る
built	build	作る
type	type	類型
typed	type	類型
types	type	類型
typings	type	類型
opinion	opinion	ぞんじより
opinions	opinion	ぞんじより
entire	entire	全体の
entires	entire	全体の
due	due	今後の予約
dues	due	今後の予約
absolutely	absolutely	絶対に
list	list	目録
listed	list	目録
listings	list	目録
lists	list	目録
enjoy	enjoy	楽しむ
enjoyed	enjoy	楽しむ
enjoying	enjoy	楽しむ
enjoys	enjoy	楽しむ
given	given	given
givens	given	given
country	country	なら
countries	country	なら
book	book	本**
booked	book	本**
bookings	book	本**
books	book	本**
literally	literally	文字通り
learn	learn	学ぶ [まなぶ]
learned	learn	学ぶ [まなぶ]
learnings	learn	学ぶ [まなぶ]
learns	learn	学ぶ [まなぶ]
learnt	learn	学ぶ [まなぶ]
situation	situation	のようす
situations	situation	のようす
room	room	チャットルーム
roomed	room	チャットルーム
rooming	room	チャットルーム
rooms	room	チャットルーム
sex	sex	ファーストネーム
sexed	sex	ファーストネーム
sexes	sex	ファーストネーム
sexing	sex	ファーストネーム
become	become	になる
became	become	になる
becomes	become	になる
becoming	become	になる
becomings	become	になる
fan	fan	ファン
fanned	fan	ファン
fanning	fan	ファン
fans	fan	ファン
soon	soon	ただちに
totally	totally	完全に
character	character	登場人物
charactered	character	登場人物
charactering	character	登場人物
characters	character	登場人物
word	word	語
worded	word	語
wordings	word	語
words	word	語
class	class	しゅうぎょう
classed	class	しゅうぎょう
classes	class	しゅうぎょう
classing	class	しゅうぎょう
card	card	こっぱい
carded	card	こっぱい
carding	card	こっぱい
cardings	card	こっぱい
cards	card	こっぱい
luck	luck	うん
lucks	luck	うん
fight	fight	戦う
fightings	fight	戦う
fights	fight	戦う
fought	fight	戦う
eat	eat	食べたり
ate	eat	食べたり
eaten	eat	食べたり
eating	eat	食べたり
eats	eat	食べたり
seeing	seeing	見る
favorite	favorite	優先するハンドラ:
favorites	favorite	優先するハンドラ:
certain	certain	なんの
light	light	ひかり
lighted	light	ひかり
lightest	light	ひかり
lightings	light	ひかり
lights	light	ひかり
early	early	早い
earliest	early	早い
earlier	early	早い
stay	stay	滞在するには
stayed	stay	滞在するには
staying	stay	滞在するには
stayings	stay	滞在するには
stays	stay	滞在するには
area	area	エリア
areas	area	エリア
sub	sub	サーブ
subbed	sub	サーブ
subbing	sub	サーブ
subs	sub	サーブ
watching	watching	見る
month	month	つき
months	month	つき
funny	funny	楽しい
funnies	funny	楽しい
funniest	funny	楽しい
funnier	funny	楽しい
ass	ass	しり
asses	ass	しり
shot	shot	ショット
shots	shot	ショット
okay	okay	大丈夫？
okayed	okay	大丈夫？
okaying	okay	大丈夫？
okays	okay	大丈夫？
reading	reading	よみ
music	music	おんがく
musics	music	おんがく
normal	normal	普通
normals	normal	普通
weird	weird	奇妙
weirder	weird	奇妙
weirdest	weird	奇妙
weirds	weird	奇妙
city	city	とかい
cities	city	とかい
internet	internet	インタネット
wow	wow	わ
wowed	wow	わ
wowing	wow	わ
wows	wow	わ
main	main	少佐
mains	main	少佐
version	version	ヴァージョン
versions	version	ヴァージョン
die	die	死ぬ
died	die	死ぬ
dies	die	死ぬ
dying	die	死ぬ
front	front	まえ
fronted	front	まえ
fronter	front	まえ
fronting	front	まえ
fronts	front	まえ
kid	kid	わらわ
kidded	kid	わらわ
kidding	kid	わらわ
kids	kid	わらわ
imagine	imagine	想像する
imagined	imagine	想像する
imagines	imagine	想像する
imagining	imagine	想像する
imaginings	imagine	想像する
actual	actual	実用的
war	war	戦争，戦い
wares	war	戦争，戦い
warred	war	戦争，戦い
warring	war	戦争，戦い
wars	war	戦争，戦い
large	large	大きい
larger	large	大きい
larges	large	大きい
largest	large	大きい
outside	outside	out
outsides	outside	out
personally	personally	個人的に
future	future	未来
futures	future	未来
online	online	オンライン
general	general	全般的 [ぜんぱんてき]
generals	general	全般的 [ぜんぱんてき]
lose	lose	失う
loses	lose	失う
losing	lose	失う
losings	lose	失う
lost	lose	失う
company	company	コンパニー
companies	company	コンパニー
companying	company	コンパニー
original	original	オリジナル
originals	original	オリジナル
obviously	obviously	明らかに
account	account	アカウント
accounted	account	アカウント
accountings	account	アカウント
accounts	account	アカウント
themselves	themselves	自分自身
cost	cost	ひよう
costed	cost	ひよう
costes	cost	ひよう
costings	cost	ひよう
costs	cost	ひよう
perfect	perfect	パーフェクト
perfected	perfect	パーフェクト
perfectest	perfect	パーフェクト
perfecting	perfect	パーフェクト
perfects	perfect	パーフェクト
cut	cut	切る
cutest	cut	切る
cuts	cut	切る
picture	picture	ずえ
pictured	picture	ずえ
pictures	picture	ずえ
picturing	picture	ずえ
longer	longer	より長い
longers	longer	より長い
plus	plus	プラス
pluses	plus	プラス
easily	easily	簡単に
space	space	点間隔
spaced	space	点間隔
spaces	space	点間隔
spacings	space	点間隔
crazy	crazy	‘くそっ！’
crazies	crazy	‘くそっ！’
craziest	crazy	‘くそっ！’
crazier	crazy	‘くそっ！’
current	current	プレゼント
currents	current	プレゼント
kinda	kinda	ひとにぎり
felt	felt	フェルト
felted	felt	フェルト
felting	felt	フェルト
feltings	felt	フェルト
felts	felt	フェルト
government	government	まぶ
governments	government	まぶ
drive	drive	運転する
driven	drive	運転する
drives	drive	運転する
drivings	drive	運転する
bring	bring	インポートする
bringings	bring	インポートする
brings	bring	インポートする
brought	bring	インポートする
short	short	短い
shorted	short	短い
shorter	short	短い
shortest	short	短い
shorting	short	短い
shorts	short	短い
break	break	目を覚ますために
breakings	break	目を覚ますために
breaks	break	目を覚ますために
broken	break	目を覚ますために
human	human	にんげん
humans	human	にんげん
death	death	ぼつ
deaths	death	ぼつ
clear	clear	distinct
cleared	clear	distinct
clearer	clear	distinct
clearest	clear	distinct
clearings	clear	distinct
clears	clear	distinct
history	history	やくし
histories	history	やくし
feeling	feeling	かん
red	red	赤
redder	red	赤
reddest	red	赤
reds	red	赤
extra	extra	追加
extras	extra	追加
quality	quality	しながら
qualities	quality	しながら
dead	dead	亡い [ない]
deads	dead	亡い [ない]
mostly	mostly	だいぶぶん
fast	fast	速い
fasted	fast	速い
faster	fast	速い
fastest	fast	速い
fastings	fast	速い
fasts	fast	速い
fair	fair	フェア
faired	fair	フェア
fairer	fair	フェア
fairest	fair	フェア
fairing	fair	フェア
fairings	fair	フェア
fairs	fair	フェア
hey	hey	ねえ……
living	living	生活
party	party	パーティ
parties	party	パーティ
partying	party	パーティ
common	common	コモン
commonest	common	コモン
commons	common	コモン
information	information	情報
informations	information	情報
hold	hold	catch
holdings	hold	catch
holds	hold	catch
fire	fire	ひ
fired	fire	ひ
fires	fire	ひ
firings	fire	ひ
business	business	しゃぎょう
businesses	business	しゃぎょう
source	source	でどころ
sourced	source	でどころ
sources	source	でどころ
sourcing	source	でどころ
sourcings	source	でどころ
store	store	店舗
stored	store	店舗
stores	store	店舗
storing	store	店舗
spend	spend	書く
spendings	spend	書く
spends	spend	書く
spent	spend	書く
giving	giving	週は
trade	trade	とりひき
traded	trade	とりひき
trades	trade	とりひき
tradings	trade	とりひき
consider	consider	検討すべきこと
considered	consider	検討すべきこと
considering	consider	検討すべきこと
considerings	consider	検討すべきこと
considers	consider	検討すべきこと
series	series	シリーズ
woman	woman	をんな
women	woman	をんな
public	public	公開
publics	public	公開
glad	glad	嬉しい
glads	glad	嬉しい
available	available	possible
community	community	共同体
communities	community	共同体
simple	simple	シンプル
simpler	simple	シンプル
simples	simple	シンプル
simplesses	simple	シンプル
simplest	simple	シンプル
alone	alone	ひとり
drop	drop	ドロップする
dropped	drop	ドロップする
dropping	drop	ドロップする
drops	drop	ドロップする
anymore	anymore	これ以上はありません
college	college	だいがく
colleges	college	だいがく
poor	poor	悪い
poorer	poor	悪い
poorest	poor	悪い
strong	strong	強
stronger	strong	強
strongest	strong	強
plan	plan	もくろみ
planed	plan	もくろみ
planes	plan	もくろみ
planing	plan	もくろみ
planned	plan	もくろみ
plans	plan	もくろみ
sell	sell	売る
selles	sell	売る
selling	sell	売る
sells	sell	売る
expect	expect	楽しみにしています
expected	expect	楽しみにしています
expecting	expect	楽しみにしています
expectings	expect	楽しみにしています
expects	expect	楽しみにしています
near	near	近い
neared	near	近い
nearer	near	近い
nearest	near	近い
nearing	near	近い
nears	near	近い
age	age	よわい
aged	age	よわい
ageings	age	よわい
ages	age	よわい
agings	age	よわい
fit	fit	正しい
fits	fit	正しい
fitted	fit	正しい
fittest	fit	正しい
late	late	遅刻
later	late	遅刻
moment	moment	瞬間
moments	moment	瞬間
save	save	節約するには
saved	save	節約するには
saves	save	節約するには
savings	save	節約
dog	dog	ドッグ
dogged	dog	ドッグ
dogging	dog	ドッグ
dogs	dog	ドッグ
itself	itself	それ自体
form	form	形状:
formed	form	形状:
formes	form	形状:
forming	form	形状:
formings	form	形状:
forms	form	形状:
value	value	ねうち
valued	value	ねうち
values	value	ねうち
valuing	value	ねうち
middle	middle	なかごろ
middled	middle	なかごろ
middler	middle	なかごろ
middles	middle	なかごろ
middlings	middle	なかごろ
personal	personal	個人の
personals	personal	個人の
relationship	relationship	リレーション
relationships	relationship	リレーション
recommend	recommend	おすすめする
recommended	recommend	おすすめする
recommending	recommend	おすすめする
recommends	recommend	おすすめする
ball	ball	ゴング
balled	ball	ゴング
balling	ball	ゴング
ballings	ball	ゴング
balls	ball	ゴング
ballsed	ball	ゴング
ballses	ball	ゴング
ballsing	ball	ゴング
article	article	記事
articled	article	記事
articles	article	記事
articling	article	記事
currently	currently	なかいま
attack	attack	攻撃する
attacked	attack	攻撃する
attacking	attack	攻撃する
attacks	attack	攻撃する
american	american	米国
americans	american	米国
correct	correct	正解
corrected	correct	正解
correcting	correct	正解
corrects	correct	正解
bunch	bunch	むり
bunched	bunch	むり
bunches	bunch	むり
bunching	bunch	むり
bunchings	bunch	むり
law	law	法
laws	law	法
weight	weight	めかた
weighted	weight	めかた
weightings	weight	めかた
weights	weight	めかた
advice	advice	じょごん
advices	advice	じょごん
speed	speed	はやさ
sped	speed	はやさ
speeded	speed	はやさ
speedings	speed	はやさ
speeds	speed	はやさ
realize	realize	実現する
realized	realize	実現する
realizes	realize	実現する
realizing	realize	実現する
worst	worst	ひどい
worsted	worst	ひどい
worsting	worst	ひどい
worsts	worst	ひどい
child	child	わらわ
children	child	わらわ
option	option	セレクティング
options	option	セレクティング
straight	straight	ストレート
straighter	straight	ストレート
straightest	straight	ストレート
straights	straight	ストレート
otherwise	otherwise	さもなければ
finally	finally	最後に
hour	hour	時間
hours	hour	時間
certainly	certainly	確かに
cannot	cannot	できません(~ C)
joke	joke	のうたん
joked	joke	のうたん
jokes	joke	のうたん
joking	joke	のうたん
hot	hot	熱い
hotter	hot	熱い
hottest	hot	熱い
choice	choice	セレクティング
choices	choice	セレクティング
doubt	doubt	疑い
