and	and	그리고
remembering	remember	기억하다
remembers	remember	기억하다
stop	stop	멈추다
stopped	stop	멈추다
stops	stop	멈추다
call	call	부르다
called	call	부르다
callings	call	부르다
calls	call	부르다
mind	mind	마음
minded	mind	마음
minding	mind	마음
mindings	mind	마음
minds	mind	마음
school	school	학교
schooled	school	학교
schoolings	school	학교
schools	school	학교
myself	myself	나 자신
thank	thank	감사하다
thanked	thank	감사하다
thanking	thank	감사하다
thankings	thank	감사하다
thanks	thank	고마워
usually	usually	보통
second	second	두 번째
seconded	second	두 번째
seconding	second	두 번째
seconds	second	초
please	please	제발
pleased	please	제발
pleases	please	제발
pleasings	please	제발
talking	talking	말하는
ago	ago	전에
set	set	놓다
sets	set	놓다
quite	quite	꽤
true	true	참인
trued	true	참인
trueing	true	참인
truer	true	참인
trues	true	참인
truest	true	참인
truing	true	참인
pay	pay	지불하다
paid	pay	지불하다
payed	pay	지불하다
paying	pay	지불하다
pays	pay	지불하다
awesome	awesome	멋진
full	full	가득한
fulled	full	가득한
fulling	full	가득한
fulls	full	가득한
week	week	주
weeks	week	주
watch	watch	보다
watched	watch	보다
watches	watch	보다
watchings	watch	보다
edit	edit	편집하다
edited	edit	편집하다
editing	edit	편집하다
edits	edit	편집하다
care	care	신경 쓰다
cared	care	신경 쓰다
cares	care	신경 쓰다
carings	care	신경 쓰다
left	left	왼쪽
lefts	left	왼쪽
question	question	질문
questioned	question	질문
questionings	question	질문
questions	question	질문
yourself	yourself	너 자신
home	home	집
homed	home	집
homes	home	집
homing	home	집
homings	home	집
rather	rather	오히려
video	video	영상
videos	video	영상
friend	friend	친구
friends	friend	친구
cool	cool	멋진
cooled	cool	멋진
coolest	cool	멋진
cooling	cool	멋진
cools	cool	멋진
ask	ask	묻다
asked	ask	묻다
asking	ask	묻다
asks	ask	묻다
side	side	쪽
sided	side	쪽
sider	side	쪽
sides	side	쪽
sidings	side	쪽
however	however	그러나
story	story	이야기
stories	story	이야기
storys	story	이야기
fine	fine	괜찮은
finer	fine	괜찮은
finest	fine	괜찮은
exactly	exactly	정확히
small	small	작은
smaller	small	작은
smallest	small	작은
smalls	small	작은
system	system	시스템
systems	system	시스템
check	check	확인하다
checked	check	확인하다
checking	check	확인하다
checks	check	확인하다
car	car	차
cars	car	차
worth	worth	가치가 있는
worths	worth	가치가 있는
seem	seem	보이다
seemed	seem	보이다
seeming	seem	보이다
seemings	seem	보이다
seems	seem	보이다
hate	hate	싫어하다
sense	sense	감각
sensed	sense	감각
senses	sense	감각
sensings	sense	감각
experience	experience	경험
experienced	experience	경험
experiences	experience	경험
experiencing	experience	경험
wait	wait	기다리다
waited	wait	기다리다
waitings	wait	기다리다
waits	wait	기다리다
add	add	더하다
added	add	더하다
adding	add	더하다
adds	add	더하다
others	others	다른 사람들
hit	hit	치다
hits	hit	치다
hitting	hit	치다
working	working	일하는
power	power	힘
powered	power	힘
powering	power	힘
powers	power	힘
completely	completely	완전히
especially	especially	특히
easy	easy	쉬운
easiest	easy	쉬운
easier	easy	쉬운
possible	possible	가능한
possibles	possible	가능한
course	course	과정
coursed	course	과정
courses	course	과정
coursings	course	과정
talk	talk	말하다
talked	talk	말하다
talkings	talk	말하다
talks	talk	말하다
sometimes	sometimes	가끔
couple	couple	한 쌍
coupled	couple	한 쌍
couples	couple	한 쌍
couplings	couple	한 쌍
matter	matter	문제
mattered	matter	문제
mattering	matter	문제
matters	matter	문제
happy	happy	행복한
happiest	happy	행복한
happier	happy	행복한
likely	likely	가능성 있는
issue	issue	문제
issued	issue	문제
issues	issue	문제
issuing	issue	문제
thinking	thinking	생각
head	head	머리
headed	head	머리
headings	head	머리
heads	head	머리
often	often	자주
half	half	반
halfer	half	반
halfs	half	반
comment	comment	댓글
commented	comment	댓글
commenting	comment	댓글
comments	comment	댓글
saw	saw	보다
sawed	saw	보다
sawing	saw	보다
sawn	saw	보다
saws	saw	보다
night	night	밤
nights	night	밤
happen	happen	일어나다
happened	happen	일어나다
happenings	happen	일어나다
happens	happen	일어나다
support	support	지원하다
supported	support	지원하다
supportings	support	지원하다
supports	support	지원하다
player	player	선수
players	player	선수
black	black	검은
blacked	black	검은
blacker	black	검은
blackest	black	검은
blackings	black	검은
blacks	black	검은
move	move	움직이다
moved	move	움직이다
moves	move	움직이다
moving	move	움직이다
movings	move	움직이다
basically	basically	기본적으로
taking	taking	가져가는
face	face	얼굴
faced	face	얼굴
faces	face	얼굴
facings	face	얼굴
close	close	닫다
closed	close	닫다
closes	close	닫다
closest	close	닫다
closings	close	닫다
kill	kill	죽이다
killed	kill	죽이다
killings	kill	죽이다
kills	kill	죽이다
hell	hell	지옥
hells	hell	지옥
line	line	줄
lined	line	줄
lines	line	줄
linings	line	줄
hand	hand	손
handed	hand	손
handing	hand	손
hands	hand	손
whatever	whatever	무엇이든
open	open	열다
opened	open	열다
openings	open	열다
opens	open	열다
today	today	오늘
damn	damn	젠장
damner	damn	젠장
damning	damn	젠장
damns	damn	젠장
house	house	집
housed	house	집
houses	house	집
housings	house	집
super	super	아주
supers	super	아주
deal	deal	거래
dealings	deal	거래
deals	deal	거래
dealt	deal	거래
season	season	시즌
seasoned	season	시즌
seasonings	season	시즌
seasons	season	시즌
similar	similar	비슷한
single	single	하나의
singled	single	하나의
singler	single	하나의
singles	single	하나의
singling	single	하나의
singlings	single	하나의
number	number	숫자
numbered	number	숫자
numberings	number	숫자
numbers	number	숫자
example	example	예
examples	example	예
win	win	이기다
wines	win	이기다
wins	win	이기다
won	win	이기다
state	state	상태
stated	state	상태
states	state	상태
stating	state	상태
family	family	가족
families	family	가족
turn	turn	돌다
turned	turn	돌다
turnings	turn	돌다
turns	turn	돌다
movie	movie	영화
movies	movie	영화
huge	huge	거대한
huger	huge	거대한
hugest	huge	거대한
together	together	함께
gonna	gonna	~할 것이다
amount	amount	양
amounted	amount	양
amounting	amount	양
amounts	amount	양
men	men	남자들
damage	damage	피해
damaged	damage	피해
damages	damage	피해
damaging	damage	피해
coming	coming	오는
past	past	과거의
pasts	past	과거의
leave	leave	떠나다
leaved	leave	떠나다
leaves	leave	잎
leavings	leave	떠나다
water	water	물
watered	water	물
waterings	water	물
waters	water	물
link	link	연결
linked	link	연결
linking	link	연결
links	link	연결
food	food	음식
foods	food	음식
hear	hear	듣다
heard	hear	듣다
hearings	hear	청문회
hears	hear	듣다
hearses	hear	듣다
three	three	셋
threes	three	셋
white	white	흰
whited	white	흰
whiter	white	흰
whites	white	흰
whitest	white	흰
whitings	white	흰
low	low	낮은
lowed	low	낮은
lowest	low	낮은
lowing	low	낮은
lows	low	낮은
price	price	가격
priced	price	가격
prices	price	가격
pricing	price	가격
sound	sound	소리
sounded	sound	소리
soundest	sound	소리
soundings	sound	소리
sounds	sound	소리
girl	girl	소녀
girls	girl	소녀
phone	phone	전화
phoned	phone	전화
phones	phone	전화
phoning	phone	전화
body	body	몸
bodies	body	몸
bodied	body	몸
bodying	body	몸
important	important	중요한
honestly	honestly	솔직히
chance	chance	기회
chanced	chance	기회
chancer	chance	기회
chances	chance	기회
chancing	chance	기회
rest	rest	나머지
rested	rest	나머지
resting	rest	나머지
restings	rest	나머지
rests	rest	나머지
sort	sort	종류
sorted	sort	종류
sortings	sort	종류
sorts	sort	종류
wish	wish	바라다
wished	wish	바라다
wishes	wish	바라다
wishings	wish	바라다
pick	pick	고르다
picked	pick	고르다
pickings	pick	고르다
picks	pick	고르다
mine	mine	나의 것
mined	mine	나의 것
mines	mine	나의 것
minings	mine	나의 것
order	order	순서
ordered	order	순서
orderings	order	순서
orders	order	순서
anyway	anyway	어쨌든
answer	answer	대답
answered	answer	대답
answering	answer	대답
answers	answer	대답
thread	thread	글타래
threaded	thread	글타래
threading	thread	글타래
threads	thread	글타래
dude	dude	녀석
dudes	dude	녀석
simply	simply	단순히
stupid	stupid	멍청한
stupider	stupid	멍청한
stupidest	stupid	멍청한
stupids	stupid	멍청한
seriously	seriously	진지하게
control	control	통제하다
controled	control	통제하다
controling	control	통제하다
controlled	control	통제하다
controlling	control	통제하다
controls	control	통제하다
group	group	집단
grouped	group	집단
groupings	group	집단
groups	group	집단
difference	difference	차이
differences	difference	차이
cause	cause	원인
caused	cause	원인
causes	cause	원인
causing	cause	원인
build	build	만들다
builded	build	만들다
buildings	build	건물
builds	build	만들다
built	build	만들다
type	type	유형
typed	type	유형
types	type	유형
typings	type	유형
opinion	opinion	의견
opinions	opinion	의견
entire	entire	전체의
entires	entire	전체의
due	due	예정된
dues	due	예정된
absolutely	absolutely	절대적으로
list	list	목록
listed	list	목록
listings	list	목록
lists	list	목록
enjoy	enjoy	즐기다
enjoyed	enjoy	즐기다
enjoying	enjoy	즐기다
enjoys	enjoy	즐기다
given	given	주어진
givens	given	주어진
country	country	나라
countries	country	나라
book	book	책
booked	book	책
bookings	book	책
books	book	책
literally	literally	말 그대로
learn	learn	배우다
learned	learn	배우다
learnings	learn	배우다
learns	learn	배우다
learnt	learn	배우다
situation	situation	상황
situations	situation	상황
room	room	방
roomed	room	방
rooming	room	방
rooms	room	방
sex	sex	성
sexed	sex	성
sexes	sex	성
sexing	sex	성
become	become	되다
became	become	되다
becomes	become	되다
becoming	become	되다
becomings	become	되다
fan	fan	팬
fanned	fan	팬
fanning	fan	팬
fans	fan	팬
soon	soon	곧
totally	totally	완전히
character	character	등장인물
charactered	character	등장인물
charactering	character	등장인물
characters	character	등장인물
word	word	단어
worded	word	단어
wordings	word	단어
words	word	단어
class	class	수업
classed	class	수업
classes	class	수업
classing	class	수업
card	card	카드
carded	card	카드
carding	card	카드
cardings	card	카드
cards	card	카드
luck	luck	운
lucks	luck	운
fight	fight	싸우다
fightings	fight	싸우다
fights	fight	싸우다
fought	fight	싸우다
eat	eat	먹다
ate	eat	먹다
eaten	eat	먹다
eating	eat	먹다
eats	eat	먹다
seeing	seeing	보는
favorite	favorite	좋아하는
favorites	favorite	좋아하는
certain	certain	어떤
light	light	빛
lighted	light	빛
lightest	light	빛
lightings	light	빛
lights	light	빛
early	early	이른
earliest	early	이른
earlier	early	이른
stay	stay	머무르다
stayed	stay	머무르다
staying	stay	머무르다
stayings	stay	머무르다
stays	stay	머무르다
area	area	지역
areas	area	지역
sub	sub	서브
subbed	sub	서브
subbing	sub	서브
subs	sub	서브
watching	watching	보는
month	month	달
months	month	달
funny	funny	재미있는
funnies	funny	재미있는
funniest	funny	재미있는
funnier	funny	재미있는
ass	ass	엉덩이
asses	ass	엉덩이
shot	shot	샷
shots	shot	샷
okay	okay	괜찮아
okayed	okay	괜찮아
okaying	okay	괜찮아
okays	okay	괜찮아
reading	reading	읽기
music	music	음악
musics	music	음악
normal	normal	보통의
normals	normal	보통의
weird	weird	이상한
weirder	weird	이상한
weirdest	weird	이상한
weirds	weird	이상한
city	city	도시
cities	city	도시
internet	internet	인터넷
wow	wow	와
wowed	wow	와
wowing	wow	와
wows	wow	와
main	main	주요한
mains	main	주요한
version	version	버전
versions	version	버전
die	die	죽다
died	die	죽다
dies	die	죽다
dying	die	죽다
front	front	앞
fronted	front	앞
fronter	front	앞
fronting	front	앞
fronts	front	앞
kid	kid	아이
kidded	kid	아이
kidding	kid	아이
kids	kid	아이
imagine	imagine	상상하다
imagined	imagine	상상하다
imagines	imagine	상상하다
imagining	imagine	상상하다
imaginings	imagine	상상하다
actual	actual	실제의
war	war	전쟁
wares	war	전쟁
warred	war	전쟁
warring	war	전쟁
wars	war	전쟁
large	large	큰
larger	large	큰
larges	large	큰
largest	large	큰
outside	outside	밖
outsides	outside	밖
personally	personally	개인적으로
future	future	미래
futures	future	미래
online	online	온라인의
general	general	일반적인
generals	general	일반적인
lose	lose	잃다
loses	lose	잃다
losing	lose	잃다
losings	lose	잃다
lost	lose	잃다
company	company	회사
companies	company	회사
companying	company	회사
original	original	원래의
originals	original	원래의
obviously	obviously	분명히
account	account	계정
accounted	account	계정
accountings	account	계정
accounts	account	계정
themselves	themselves	그들 자신
cost	cost	비용
costed	cost	비용
costes	cost	비용
costings	cost	비용
costs	cost	비용
perfect	perfect	완벽한
perfected	perfect	완벽한
perfectest	perfect	완벽한
perfecting	perfect	완벽한
perfects	perfect	완벽한
cut	cut	자르다
cutest	cut	자르다
cuts	cut	자르다
picture	picture	그림
pictured	picture	그림
pictures	picture	그림
picturing	picture	그림
longer	longer	더 긴
longers	longer	더 긴
plus	plus	플러스
pluses	plus	플러스
easily	easily	쉽게
space	space	공간
spaced	space	공간
spaces	space	공간
spacings	space	공간
crazy	crazy	미친
crazies	crazy	미친
craziest	crazy	미친
crazier	crazy	미친
current	current	현재의
currents	current	현재의
kinda	kinda	약간
felt	felt	느꼈다
felted	felt	느꼈다
felting	felt	느꼈다
feltings	felt	느꼈다
felts	felt	느꼈다
government	government	정부
governments	government	정부
drive	drive	운전하다
driven	drive	운전하다
drives	drive	운전하다
drivings	drive	운전하다
bring	bring	가져오다
bringings	bring	가져오다
brings	bring	가져오다
brought	bring	가져오다
short	short	짧은
shorted	short	짧은
shorter	short	짧은
shortest	short	짧은
shorting	short	짧은
shorts	short	짧은
break	break	깨다
breakings	break	깨다
breaks	break	깨다
broken	break	깨다
human	human	인간
humans	human	인간
death	death	죽음
deaths	death	죽음
clear	clear	분명한
cleared	clear	분명한
clearer	clear	분명한
clearest	clear	분명한
clearings	clear	분명한
clears	clear	분명한
history	history	역사
histories	history	역사
feeling	feeling	느낌
red	red	빨간
redder	red	빨간
reddest	red	빨간
reds	red	빨간
extra	extra	추가의
extras	extra	추가의
quality	quality	품질
qualities	quality	품질
dead	dead	죽은
deads	dead	죽은
mostly	mostly	대부분
fast	fast	빠른
fasted	fast	빠른
faster	fast	빠른
fastest	fast	빠른
fastings	fast	빠른
fasts	fast	빠른
fair	fair	공정한
faired	fair	공정한
fairer	fair	공정한
fairest	fair	공정한
fairing	fair	공정한
fairings	fair	공정한
fairs	fair	공정한
hey	hey	야
living	living	생활
party	party	파티
parties	party	파티
partying	party	파티
common	common	흔한
commonest	common	흔한
commons	common	흔한
information	information	정보
informations	information	정보
hold	hold	잡다
holdings	hold	잡다
holds	hold	잡다
fire	fire	불
fired	fire	불
fires	fire	불
firings	fire	불
business	business	사업
businesses	business	사업
source	source	출처
sourced	source	출처
sources	source	출처
sourcing	source	출처
sourcings	source	출처
store	store	가게
stored	store	가게
stores	store	가게
storing	store	가게
spend	spend	쓰다
spendings	spend	쓰다
spends	spend	쓰다
spent	spend	쓰다
giving	giving	주는
trade	trade	거래
traded	trade	거래
trades	trade	거래
tradings	trade	거래
consider	consider	고려하다
considered	consider	고려하다
considering	consider	고려하다
considerings	consider	고려하다
considers	consider	고려하다
series	series	시리즈
woman	woman	여자
women	woman	여자
public	public	공공의
publics	public	공공의
glad	glad	기쁜
glads	glad	기쁜
available	available	가능한
community	community	공동체
communities	community	공동체
simple	simple	간단한
simpler	simple	간단한
simples	simple	간단한
simplesses	simple	간단한
simplest	simple	간단한
alone	alone	혼자
drop	drop	떨어뜨리다
dropped	drop	떨어뜨리다
dropping	drop	떨어뜨리다
drops	drop	떨어뜨리다
anymore	anymore	더 이상
college	college	대학
colleges	college	대학
poor	poor	가난한
poorer	poor	가난한
poorest	poor	가난한
strong	strong	강한
stronger	strong	강한
strongest	strong	강한
plan	plan	계획
planed	plan	계획
planes	plan	계획
planing	plan	계획
planned	plan	계획
plans	plan	계획
sell	sell	팔다
selles	sell	팔다
selling	sell	팔다
sells	sell	팔다
expect	expect	기대하다
expected	expect	기대하다
expecting	expect	기대하다
expectings	expect	기대하다
expects	expect	기대하다
near	near	가까운
neared	near	가까운
nearer	near	가까운
nearest	near	가까운
nearing	near	가까운
nears	near	가까운
age	age	나이
aged	age	나이
ageings	age	나이
ages	age	나이
agings	age	나이
fit	fit	맞다
fits	fit	맞다
fitted	fit	맞다
fittest	fit	맞다
late	late	늦은
later	late	늦은
moment	moment	순간
moments	moment	순간
save	save	저장하다
saved	save	저장하다
saves	save	저장하다
savings	save	저축
dog	dog	개
dogged	dog	개
dogging	dog	개
dogs	dog	개
itself	itself	그것 자신
form	form	형태
formed	form	형태
formes	form	형태
forming	form	형태
formings	form	형태
forms	form	형태
value	value	가치
valued	value	가치
values	value	가치
valuing	value	가치
middle	middle	중간
middled	middle	중간
middler	middle	중간
middles	middle	중간
middlings	middle	중간
personal	personal	개인의
personals	personal	개인의
relationship	relationship	관계
relationships	relationship	관계
recommend	recommend	추천하다
recommended	recommend	추천하다
recommending	recommend	추천하다
recommends	recommend	추천하다
ball	ball	공
balled	ball	공
balling	ball	공
ballings	ball	공
balls	ball	공
ballsed	ball	공
ballses	ball	공
ballsing	ball	공
article	article	글
articled	article	글
articles	article	글
articling	article	글
currently	currently	현재
attack	attack	공격하다
attacked	attack	공격하다
attacking	attack	공격하다
attacks	attack	공격하다
american	american	미국의
americans	american	미국의
correct	correct	올바른
corrected	correct	올바른
correcting	correct	올바른
corrects	correct	올바른
bunch	bunch	무리
bunched	bunch	무리
bunches	bunch	무리
bunching	bunch	무리
bunchings	bunch	무리
law	law	법
laws	law	법
weight	weight	무게
weighted	weight	무게
weightings	weight	무게
weights	weight	무게
advice	advice	조언
advices	advice	조언
speed	speed	속도
sped	speed	속도
speeded	speed	속도
speedings	speed	속도
speeds	speed	속도
realize	realize	깨닫다
realized	realize	깨닫다
realizes	realize	깨닫다
realizing	realize	깨닫다
worst	worst	최악의
worsted	worst	최악의
worsting	worst	최악의
worsts	worst	최악의
child	child	아이
children	child	아이
option	option	선택
options	option	선택
straight	straight	곧은
straighter	straight	곧은
straightest	straight	곧은
straights	straight	곧은
otherwise	otherwise	그렇지 않으면
finally	finally	마침내
hour	hour	시간
hours	hour	시간
certainly	certainly	확실히
cannot	cannot	~할 수 없다
joke	joke	농담
joked	joke	농담
jokes	joke	농담
joking	joke	농담
hot	hot	뜨거운
hotter	hot	뜨거운
hottest	hot	뜨거운
choice	choice	선택
choices	choice	선택
doubt	doubt	의심
doubted	doubt	의심
doubting	doubt	의심
doubtings	doubt	의심
doubts	doubt	의심
decent	decent	괜찮은
decenter	decent	괜찮은
decentest	decent	괜찮은
figure	figure	숫자
figured	figure	숫자
figures	figure	숫자
figurings	figure	숫자
specific	specific	구체적인
specifics	specific	구체적인
size	size	크기
sized	size	크기
sizer	size	크기
sizes	size	크기
sizings	size	크기
send	send	보내다
sended	send	보내다
sendings	send	보내다
sends	send	보내다
starting	starting	시작하는
wife	wife	아내
generally	generally	일반적으로
clearly	clearly	분명히
google	google	구글
googled	google	구글
googles	google	구글
googling	google	구글
gold	gold	금
golder	gold	금
goldest	gold	금
golds	gold	금
gun	gun	총
gunned	gun	총
gunning	gun	총
guns	gun	총
content	content	내용
contented	content	내용
contenting	content	내용
contents	content	내용
news	news	뉴스
cheap	cheap	싼
cheaper	cheap	싼
cheapest	cheap	싼
terrible	terrible	끔찍한
average	average	평균의
averaged	average	평균의
averages	average	평균의
averaging	average	평균의
argument	argument	주장
arguments	argument	주장
mom	mom	엄마
moms	mom	엄마
young	young	젊은
younger	young	젊은
youngest	young	젊은
youngs	young	젊은
match	match	경기
matched	match	경기
matches	match	경기
matching	match	경기
matchings	match	경기
song	song	노래
songs	song	노래
page	page	페이지
paged	page	페이지
pages	page	페이지
pagings	page	페이지
market	market	시장
marketed	market	시장
marketings	market	시장
markets	market	시장
beat	beat	이기다
beaten	beat	이기다
beatings	beat	이기다
beats	beat	이기다
serious	serious	심각한
position	position	위치
positioned	position	위치
positioning	position	위치
positions	position	위치
lower	lower	더 낮은
lowered	lower	더 낮은
lowering	lower	더 낮은
lowers	lower	더 낮은
local	local	지역의
locals	local	지역의
social	social	사회의
socials	social	사회의
recently	recently	최근에
mention	mention	언급하다
mentioned	mention	언급하다
mentioning	mention	언급하다
mentions	mention	언급하다
air	air	공기
aired	air	공기
airings	air	공기
airs	air	공기
wonder	wonder	궁금하다
wondered	wonder	궁금하다
wondering	wonder	궁금하다
wonderings	wonder	궁금하다
